type,n,m,t,otps,cmps,iters
max,190,266,20,1,3,2
min,190,266,20,1,3,2
rnd,190,266,20,1,3,2
max,190,266,28,8,6,14
min,190,266,28,8,6,38
rnd,190,266,28,8,6,17
max,190,266,40,11,6,21
min,190,266,40,11,6,26
rnd,190,266,40,11,6,17
max,190,266,37,17,11,38
min,190,266,37,17,11,63
rnd,190,266,37,17,11,94
max,190,266,45,10,9,20
min,190,266,45,10,9,23
rnd,190,266,45,10,9,19
max,190,266,37,8,9,15
min,190,266,37,8,9,19
rnd,190,266,37,8,9,18
max,190,266,20,1,5,2
min,190,266,20,1,5,2
rnd,190,266,20,1,5,2
max,190,266,10,2,2,4
min,190,266,10,2,2,4
rnd,190,266,10,2,2,4
max,190,266,32,4,5,7
min,190,266,32,4,5,7
rnd,190,266,32,4,5,8
max,190,266,28,4,4,5
min,190,266,28,4,4,5
rnd,190,266,28,4,4,5
max,190,266,21,5,5,7
min,190,266,21,5,5,9
rnd,190,266,21,5,5,11
max,190,266,38,6,7,9
min,190,266,38,6,7,20
rnd,190,266,38,6,7,8
max,190,266,36,8,5,14
min,190,266,36,8,5,24
rnd,190,266,36,8,5,19
max,190,266,17,3,3,5
min,190,266,17,3,3,7
rnd,190,266,17,3,3,6
max,190,266,10,1,2,2
min,190,266,10,1,2,2
rnd,190,266,10,1,2,2
max,190,266,36,11,5,37
rnd,190,266,36,11,5,56
max,190,266,5,2,2,3
min,190,266,5,2,2,3
rnd,190,266,5,2,2,3
max,190,266,38,13,10,30
min,190,266,38,13,10,84
rnd,190,266,38,13,10,48
max,190,266,27,9,5,21
min,190,266,27,9,5,45
rnd,190,266,27,9,5,20
max,190,266,36,19,7,28
min,190,266,36,19,7,41
rnd,190,266,36,19,7,31
max,190,266,28,6,7,7
min,190,266,28,6,7,7
rnd,190,266,28,6,7,7
max,190,266,9,2,3,3
min,190,266,9,2,3,3
rnd,190,266,9,2,3,3
max,190,266,28,3,4,4
min,190,266,28,3,4,4
rnd,190,266,28,3,4,4
max,190,266,30,8,6,9
min,190,266,30,8,6,9
rnd,190,266,30,8,6,9
max,190,266,16,3,4,4
min,190,266,16,3,4,4
rnd,190,266,16,3,4,4
max,190,266,45,14,10,47
min,190,266,45,14,10,71
max,190,266,25,1,2,2
min,190,266,25,1,2,2
rnd,190,266,25,1,2,2
max,190,266,25,5,6,6
min,190,266,25,5,6,6
rnd,190,266,25,5,6,6
max,190,266,38,15,10,29
min,190,266,38,15,10,97
rnd,190,266,38,15,10,42
max,190,266,4,0,2,1
min,190,266,4,0,2,1
rnd,190,266,4,0,2,1
max,190,266,29,9,7,15
min,190,266,29,9,7,22
rnd,190,266,29,9,7,16
max,190,266,29,5,6,7
min,190,266,29,5,6,9
rnd,190,266,29,5,6,7
max,190,266,5,0,2,1
min,190,266,5,0,2,1
rnd,190,266,5,0,2,1
max,190,266,24,0,3,1
min,190,266,24,0,3,1
rnd,190,266,24,0,3,1
max,190,266,27,5,8,8
min,190,266,27,5,8,8
rnd,190,266,27,5,8,8
max,190,266,24,7,6,16
min,190,266,24,7,6,24
rnd,190,266,24,7,6,20
max,190,266,13,4,5,5
min,190,266,13,4,5,5
rnd,190,266,13,4,5,5
max,190,266,21,5,5,7
min,190,266,21,5,5,7
rnd,190,266,21,5,5,10
max,190,266,35,10,7,46
min,190,266,35,10,7,53
rnd,190,266,35,10,7,49
max,190,266,16,4,5,5
min,190,266,16,4,5,5
rnd,190,266,16,4,5,5
max,190,266,25,1,4,2
min,190,266,25,1,4,2
rnd,190,266,25,1,4,2
max,190,266,19,2,3,3
min,190,266,19,2,3,3
rnd,190,266,19,2,3,3
max,190,266,44,9,7,11
min,190,266,44,9,7,11
rnd,190,266,44,9,7,12
max,190,266,27,2,5,3
min,190,266,27,2,5,3
rnd,190,266,27,2,5,3
max,190,266,28,3,5,4
min,190,266,28,3,5,4
rnd,190,266,28,3,5,4
max,190,266,4,1,2,2
min,190,266,4,1,2,2
rnd,190,266,4,1,2,2
max,190,266,15,4,3,6
min,190,266,15,4,3,9
rnd,190,266,15,4,3,8
max,190,266,21,7,5,18
min,190,266,21,7,5,32
rnd,190,266,21,7,5,24
max,190,266,12,1,2,2
min,190,266,12,1,2,2
rnd,190,266,12,1,2,2
max,190,266,25,2,2,3
min,190,266,25,2,2,4
rnd,190,266,25,2,2,3
rnd,190,266,42,25,12,58
max,190,266,34,15,8,16
min,190,266,34,15,8,21
rnd,190,266,34,15,8,54
max,190,266,27,8,8,12
min,190,266,27,8,8,22
rnd,190,266,27,8,8,13
max,190,266,21,1,4,2
min,190,266,21,1,4,2
rnd,190,266,21,1,4,2
max,190,266,16,3,3,7
min,190,266,16,3,3,7
rnd,190,266,16,3,3,7
max,190,266,5,1,2,2
min,190,266,5,1,2,2
rnd,190,266,5,1,2,2
max,190,266,28,4,3,6
min,190,266,28,4,3,7
rnd,190,266,28,4,3,6
max,190,266,13,2,2,4
min,190,266,13,2,2,4
rnd,190,266,13,2,2,4
max,190,266,15,1,3,2
min,190,266,15,1,3,2
rnd,190,266,15,1,3,2
max,190,266,27,7,5,8
min,190,266,27,7,5,8
rnd,190,266,27,7,5,8
max,190,266,16,2,3,3
min,190,266,16,2,3,3
rnd,190,266,16,2,3,3
max,190,266,13,0,2,1
min,190,266,13,0,2,1
rnd,190,266,13,0,2,1
max,190,266,30,7,6,9
min,190,266,30,7,6,12
rnd,190,266,30,7,6,9
max,190,266,24,6,6,12
min,190,266,24,6,6,10
rnd,190,266,24,6,6,11
max,190,266,28,2,2,3
min,190,266,28,2,2,3
rnd,190,266,28,2,2,3
max,190,266,6,0,2,1
min,190,266,6,0,2,1
rnd,190,266,6,0,2,1
max,190,266,5,3,4,4
min,190,266,5,3,4,4
rnd,190,266,5,3,4,4
max,190,266,27,2,3,3
min,190,266,27,2,3,3
rnd,190,266,27,2,3,3
max,190,266,21,1,2,2
min,190,266,21,1,2,2
rnd,190,266,21,1,2,2
max,190,266,26,7,7,8
min,190,266,26,7,7,8
rnd,190,266,26,7,7,8
max,190,266,8,2,3,3
min,190,266,8,2,3,3
rnd,190,266,8,2,3,3
max,190,266,6,1,2,2
min,190,266,6,1,2,2
rnd,190,266,6,1,2,2
max,190,266,47,15,10,87
min,190,266,47,15,10,39
max,190,266,46,21,13,76
max,190,266,20,6,7,9
min,190,266,20,6,7,11
rnd,190,266,20,6,7,11
max,190,266,43,10,8,37
