type,n,m,t,otps,cmps,iters
max,55,58,21,75,17,156
max,55,58,18,57,15,110
min,55,58,18,57,15,810
rnd,55,58,18,57,15,630
max,55,58,22,48,15,49
rnd,55,58,22,48,15,693
max,55,58,7,12,7,13
min,55,58,7,12,7,97
rnd,55,58,7,12,7,22
max,55,58,5,8,6,9
min,55,58,5,8,6,24
rnd,55,58,5,8,6,9
max,55,58,19,49,15,109
max,55,58,7,10,5,11
min,55,58,7,10,5,45
rnd,55,58,7,10,5,13
max,55,58,23,72,16,146
max,55,58,1,1,2,2
min,55,58,1,1,2,2
rnd,55,58,1,1,2,2
max,55,58,20,54,16,55
min,55,58,20,54,16,501
max,55,58,9,12,6,22
min,55,58,9,12,6,63
rnd,55,58,9,12,6,15
max,55,58,18,43,14,44
rnd,55,58,18,43,14,296
max,55,58,24,81,18,180
max,55,58,16,26,10,27
min,55,58,16,26,10,92
rnd,55,58,16,26,10,95
max,55,58,19,61,14,123
min,55,58,19,61,14,275
rnd,55,58,19,61,14,256
max,55,58,5,6,4,7
min,55,58,5,6,4,7
rnd,55,58,5,6,4,14
max,55,58,7,7,6,8
min,55,58,7,7,6,27
rnd,55,58,7,7,6,19
max,55,58,23,45,16,102
max,55,58,18,44,13,45
min,55,58,18,44,13,392
rnd,55,58,18,44,13,181
max,55,58,18,44,13,84
rnd,55,58,18,44,13,373
max,55,58,23,75,17,126
rnd,55,58,23,75,17,143
max,55,58,7,8,6,9
min,55,58,7,8,6,23
rnd,55,58,7,8,6,9
max,55,58,24,62,17,115
rnd,55,58,24,62,17,473
max,55,58,5,7,5,8
min,55,58,5,7,5,22
rnd,55,58,5,7,5,14
max,55,58,23,57,15,167
max,55,58,16,31,11,74
rnd,55,58,16,31,11,105
max,55,58,9,14,8,15
min,55,58,9,14,8,124
rnd,55,58,9,14,8,29
max,55,58,5,7,6,8
min,55,58,5,7,6,28
rnd,55,58,5,7,6,8
max,55,58,14,33,12,62
min,55,58,14,33,12,933
rnd,55,58,14,33,12,726
max,55,58,19,45,15,46
min,55,58,19,45,15,759
rnd,55,58,19,45,15,116
max,55,58,15,27,10,52
min,55,58,15,27,10,145
rnd,55,58,15,27,10,49
max,55,58,23,96,16,215
max,55,58,15,33,13,58
min,55,58,15,33,13,498
max,55,58,12,39,11,40
min,55,58,12,39,11,81
rnd,55,58,12,39,11,119
max,55,58,23,65,18,146
rnd,55,58,23,65,18,1460
max,55,58,19,52,14,111
rnd,55,58,19,52,14,742
max,55,58,7,11,6,21
min,55,58,7,11,6,59
rnd,55,58,7,11,6,21
max,55,58,23,83,17,171
max,55,58,24,53,16,103
max,55,58,12,17,9,18
min,55,58,12,17,9,68
rnd,55,58,12,17,9,92
max,55,58,7,11,8,12
min,55,58,7,11,8,57
rnd,55,58,7,11,8,12
max,55,58,12,25,10,27
min,55,58,12,25,10,118
rnd,55,58,12,25,10,81
max,55,58,15,20,10,21
min,55,58,15,20,10,186
rnd,55,58,15,20,10,28
max,55,58,12,19,10,20
min,55,58,12,19,10,411
rnd,55,58,12,19,10,114
max,55,58,2,2,3,3
min,55,58,2,2,3,3
rnd,55,58,2,2,3,3
max,55,58,23,48,18,84
max,55,58,5,10,5,11
min,55,58,5,10,5,32
rnd,55,58,5,10,5,20
max,55,58,15,28,12,29
min,55,58,15,28,12,806
rnd,55,58,15,28,12,123
max,55,58,13,26,10,27
min,55,58,13,26,10,144
rnd,55,58,13,26,10,194
max,55,58,23,85,18,125
max,55,58,11,21,10,22
min,55,58,11,21,10,252
rnd,55,58,11,21,10,23
max,55,58,16,39,14,72
min,55,58,16,39,14,390
rnd,55,58,16,39,14,566
max,55,58,13,25,10,48
rnd,55,58,13,25,10,258
max,55,58,4,7,5,8
min,55,58,4,7,5,21
rnd,55,58,4,7,5,8
max,55,58,21,66,17,140
max,55,58,10,10,7,11
min,55,58,10,10,7,53
rnd,55,58,10,10,7,19
max,55,58,21,67,16,127
min,55,58,21,67,16,627
max,55,58,18,38,15,69
max,55,58,7,10,7,11
min,55,58,7,10,7,59
rnd,55,58,7,10,7,22
max,55,58,21,47,17,48
rnd,55,58,21,47,17,970
max,55,58,19,32,14,33
min,55,58,19,32,14,1177
rnd,55,58,19,32,14,761
max,55,58,17,48,12,85
max,55,58,23,61,15,62
min,55,58,23,61,15,135
rnd,55,58,23,61,15,323
max,55,58,1,1,2,2
min,55,58,1,1,2,2
rnd,55,58,1,1,2,2
max,55,58,15,36,12,37
min,55,58,15,36,12,898
rnd,55,58,15,36,12,507
max,55,58,9,15,7,60
min,55,58,9,15,7,175
rnd,55,58,9,15,7,46
max,55,58,24,54,16,55
min,55,58,24,54,16,162
rnd,55,58,24,54,16,116
max,55,58,12,24,10,37
rnd,55,58,12,24,10,68
max,55,58,16,45,13,101
max,55,58,13,14,8,15
min,55,58,13,14,8,15
rnd,55,58,13,14,8,15
max,55,58,20,58,16,118
max,55,58,19,75,16,371
min,55,58,19,75,16,1328
max,55,58,1,1,2,2
min,55,58,1,1,2,2
rnd,55,58,1,1,2,2
max,55,58,8,12,6,23
min,55,58,8,12,6,61
rnd,55,58,8,12,6,88
max,55,58,13,36,12,37
min,55,58,13,36,12,249
rnd,55,58,13,36,12,73
max,55,58,20,77,15,199
rnd,55,58,20,77,15,414
max,55,58,14,34,13,63
min,55,58,14,34,13,1403
rnd,55,58,14,34,13,329
max,55,58,11,30,9,31
min,55,58,11,30,9,31
rnd,55,58,11,30,9,114
max,55,58,2,2,3,3
min,55,58,2,2,3,3
rnd,55,58,2,2,3,3
max,55,58,11,24,9,25
min,55,58,11,24,9,118
rnd,55,58,11,24,9,92
max,55,58,14,27,11,58
rnd,55,58,14,27,11,252
max,55,58,5,4,4,5
min,55,58,5,4,4,9
rnd,55,58,5,4,4,10
max,55,58,6,4,4,5
min,55,58,6,4,4,5
rnd,55,58,6,4,4,5
max,55,58,22,43,13,44
min,55,58,22,43,13,146
rnd,55,58,22,43,13,103
max,55,58,19,71,15,72
min,55,58,19,71,15,311
max,55,58,24,101,18,207
rnd,55,58,24,101,18,584
max,55,58,16,26,12,44
min,55,58,16,26,12,82
rnd,55,58,16,26,12,73
max,55,58,12,22,10,23
min,55,58,12,22,10,382
rnd,55,58,12,22,10,245
max,55,58,19,46,15,47
rnd,55,58,19,46,15,586
max,55,58,9,14,8,15
min,55,58,9,14,8,65
rnd,55,58,9,14,8,41
max,55,58,2,3,3,4
min,55,58,2,3,3,7
rnd,55,58,2,3,3,4
max,55,58,14,31,12,61
rnd,55,58,14,31,12,116
max,55,58,22,59,17,68
rnd,55,58,22,59,17,547
max,55,58,23,99,18,197
max,55,58,8,9,6,16
min,55,58,8,9,6,30
rnd,55,58,8,9,6,19
max,55,58,21,50,15,105
rnd,55,58,21,50,15,878
max,55,58,10,29,9,30
min,55,58,10,29,9,30
rnd,55,58,10,29,9,30
max,55,58,7,7,6,8
min,55,58,7,7,6,16
rnd,55,58,7,7,6,15
max,55,58,20,36,12,37
min,55,58,20,36,12,129
rnd,55,58,20,36,12,359
max,55,58,3,4,4,5
min,55,58,3,4,4,8
rnd,55,58,3,4,4,5
max,55,58,14,24,9,51
rnd,55,58,14,24,9,175
max,55,58,19,50,14,51
min,55,58,19,50,14,289
rnd,55,58,19,50,14,195
max,55,58,22,70,16,147
max,55,58,12,24,9,25
min,55,58,12,24,9,142
rnd,55,58,12,24,9,29
max,55,58,24,63,15,112
rnd,55,58,24,63,15,932
max,55,58,20,50,14,196
min,55,58,20,50,14,412
max,55,58,20,84,15,183
max,55,58,1,1,2,2
min,55,58,1,1,2,2
rnd,55,58,1,1,2,2
max,55,58,1,1,2,2
min,55,58,1,1,2,2
rnd,55,58,1,1,2,2
max,55,58,15,46,14,98
max,55,58,19,54,15,94
min,55,58,19,54,15,928
rnd,55,58,19,54,15,818
max,55,58,24,115,18,208
max,55,58,16,34,13,79
rnd,55,58,16,34,13,157
max,55,58,15,31,11,48
min,55,58,15,31,11,281
rnd,55,58,15,31,11,392
max,55,58,9,19,9,20
min,55,58,9,19,9,108
rnd,55,58,9,19,9,64
max,55,58,9,19,8,20
min,55,58,9,19,8,203
rnd,55,58,9,19,8,47
max,55,58,24,62,18,64
max,55,58,5,5,5,9
min,55,58,5,5,5,12
rnd,55,58,5,5,5,13
