type,n,m,t,otps,cmps,iters
rnd,120,305,149,16,4,32
max,120,305,126,19,4,35
max,120,305,111,14,4,35
rnd,120,305,111,14,4,124
max,120,305,118,12,3,13
min,120,305,118,12,3,20
rnd,120,305,118,12,3,18
max,120,305,103,6,2,7
min,120,305,103,6,2,9
rnd,120,305,103,6,2,11
max,120,305,133,3,2,4
min,120,305,133,3,2,4
rnd,120,305,133,3,2,4
max,120,305,116,11,3,13
min,120,305,116,11,3,31
rnd,120,305,116,11,3,26
max,120,305,87,3,2,4
min,120,305,87,3,2,6
rnd,120,305,87,3,2,6
max,120,305,99,10,4,12
min,120,305,99,10,4,19
rnd,120,305,99,10,4,13
max,120,305,39,1,3,2
min,120,305,39,1,3,2
rnd,120,305,39,1,3,2
max,120,305,58,1,2,2
min,120,305,58,1,2,2
rnd,120,305,58,1,2,2
max,120,305,83,3,3,4
min,120,305,83,3,3,4
rnd,120,305,83,3,3,4
max,120,305,108,5,3,6
min,120,305,108,5,3,6
rnd,120,305,108,5,3,6
max,120,305,125,3,3,4
min,120,305,125,3,3,4
rnd,120,305,125,3,3,4
max,120,305,26,1,2,2
min,120,305,26,1,2,2
rnd,120,305,26,1,2,2
max,120,305,95,1,2,2
min,120,305,95,1,2,2
rnd,120,305,95,1,2,2
max,120,305,113,17,4,48
max,120,305,150,1,2,2
min,120,305,150,1,2,2
rnd,120,305,150,1,2,2
max,120,305,150,1,2,2
min,120,305,150,1,2,2
rnd,120,305,150,1,2,2
max,120,305,144,30,8,62
rnd,120,305,144,30,8,90
max,120,305,66,6,3,7
min,120,305,66,6,3,9
rnd,120,305,66,6,3,7
max,120,305,103,1,2,2
min,120,305,103,1,2,2
rnd,120,305,103,1,2,2
max,120,305,87,2,3,3
min,120,305,87,2,3,3
rnd,120,305,87,2,3,3
max,120,305,130,4,3,5
min,120,305,130,4,3,10
rnd,120,305,130,4,3,7
max,120,305,50,2,2,3
min,120,305,50,2,2,3
rnd,120,305,50,2,2,3
max,120,305,47,2,2,3
min,120,305,47,2,2,3
rnd,120,305,47,2,2,3
max,120,305,125,1,2,2
min,120,305,125,1,2,2
rnd,120,305,125,1,2,2
max,120,305,36,1,2,2
min,120,305,36,1,2,2
rnd,120,305,36,1,2,2
max,120,305,134,5,4,7
min,120,305,134,5,4,20
rnd,120,305,134,5,4,12
max,120,305,145,22,5,25
rnd,120,305,145,22,5,39
max,120,305,138,19,5,24
rnd,120,305,138,19,5,59
max,120,305,6,2,2,3
min,120,305,6,2,2,3
rnd,120,305,6,2,2,3
max,120,305,104,5,2,6
min,120,305,104,5,2,6
rnd,120,305,104,5,2,6
max,120,305,92,3,2,4
min,120,305,92,3,2,4
rnd,120,305,92,3,2,4
max,120,305,110,10,3,11
min,120,305,110,10,3,11
rnd,120,305,110,10,3,11
