type,n,m,t,otps,cmps,iters
min,68,115,24,4,2,10
rnd,68,115,24,4,2,8
max,68,115,35,49,4,298
rnd,68,115,35,49,4,1217
max,68,115,30,5,2,6
min,68,115,30,5,2,15
rnd,68,115,30,5,2,7
max,68,115,24,24,2,28
min,68,115,24,24,2,286
rnd,68,115,24,24,2,35
max,68,115,35,38,6,616
max,68,115,38,28,5,97
rnd,68,115,38,28,5,203
max,68,115,40,29,4,105
rnd,68,115,40,29,4,850
max,68,115,39,14,4,15
min,68,115,39,14,4,37
rnd,68,115,39,14,4,25
max,68,115,22,4,2,5
min,68,115,22,4,2,5
rnd,68,115,22,4,2,5
max,68,115,21,3,2,4
min,68,115,21,3,2,4
rnd,68,115,21,3,2,4
max,68,115,35,5,2,11
min,68,115,35,5,2,12
rnd,68,115,35,5,2,12
max,68,115,39,11,3,23
min,68,115,39,11,3,52
rnd,68,115,39,11,3,32
max,68,115,32,4,2,5
min,68,115,32,4,2,8
rnd,68,115,32,4,2,5
max,68,115,38,42,3,86
rnd,68,115,38,42,3,909
max,68,115,38,7,2,13
min,68,115,38,7,2,26
rnd,68,115,38,7,2,23
max,68,115,22,9,2,13
min,68,115,22,9,2,68
rnd,68,115,22,9,2,14
max,68,115,40,14,4,50
min,68,115,40,14,4,269
rnd,68,115,40,14,4,194
max,68,115,25,5,2,7
min,68,115,25,5,2,16
rnd,68,115,25,5,2,9
max,68,115,40,11,3,19
min,68,115,40,11,3,42
rnd,68,115,40,11,3,33
max,68,115,27,4,2,8
min,68,115,27,4,2,10
rnd,68,115,27,4,2,8
max,68,115,38,10,3,25
min,68,115,38,10,3,292
rnd,68,115,38,10,3,45
max,68,115,30,9,2,14
min,68,115,30,9,2,28
rnd,68,115,30,9,2,19
max,68,115,29,10,3,11
min,68,115,29,10,3,43
rnd,68,115,29,10,3,30
max,68,115,35,3,2,4
min,68,115,35,3,2,4
rnd,68,115,35,3,2,4
max,68,115,39,11,2,19
min,68,115,39,11,2,47
rnd,68,115,39,11,2,48
max,68,115,40,30,4,80
rnd,68,115,40,30,4,1160
max,68,115,31,6,2,7
min,68,115,31,6,2,7
rnd,68,115,31,6,2,7
max,68,115,23,13,2,31
min,68,115,23,13,2,189
rnd,68,115,23,13,2,54
max,68,115,38,2,2,3
min,68,115,38,2,2,4
rnd,68,115,38,2,2,4
max,68,115,39,39,3,85
rnd,68,115,39,39,3,467
max,68,115,29,5,2,6
min,68,115,29,5,2,11
rnd,68,115,29,5,2,7
max,68,115,35,21,3,42
rnd,68,115,35,21,3,112
max,68,115,40,35,3,57
min,68,115,40,35,3,667
rnd,68,115,40,35,3,437
max,68,115,16,5,2,7
min,68,115,16,5,2,9
rnd,68,115,16,5,2,8
max,68,115,37,12,3,18
min,68,115,37,12,3,35
rnd,68,115,37,12,3,20
max,68,115,33,8,3,13
min,68,115,33,8,3,23
rnd,68,115,33,8,3,11
max,68,115,28,3,2,4
min,68,115,28,3,2,4
rnd,68,115,28,3,2,4
max,68,115,6,2,2,3
min,68,115,6,2,2,4
rnd,68,115,6,2,2,4
max,68,115,15,2,2,3
min,68,115,15,2,2,4
rnd,68,115,15,2,2,4
max,68,115,29,4,2,6
min,68,115,29,4,2,10
rnd,68,115,29,4,2,8
max,68,115,20,5,2,11
min,68,115,20,5,2,22
rnd,68,115,20,5,2,18
max,68,115,21,8,3,11
min,68,115,21,8,3,28
rnd,68,115,21,8,3,14
max,68,115,11,4,2,6
min,68,115,11,4,2,9
