type,n,m,t,otps,cmps,iters
min,196,533,74,3,2,6
rnd,196,533,74,3,2,6
max,196,533,112,5,2,8
min,196,533,112,5,2,10
rnd,196,533,112,5,2,8
max,196,533,64,3,2,4
min,196,533,64,3,2,6
rnd,196,533,64,3,2,4
max,196,533,69,3,2,4
min,196,533,69,3,2,4
rnd,196,533,69,3,2,4
max,196,533,162,12,2,26
rnd,196,533,162,12,2,44
max,196,533,102,7,3,10
min,196,533,102,7,3,15
rnd,196,533,102,7,3,11
max,196,533,134,5,2,6
min,196,533,134,5,2,8
rnd,196,533,134,5,2,6
max,196,533,105,2,2,4
min,196,533,105,2,2,4
rnd,196,533,105,2,2,4
max,196,533,193,17,2,19
max,196,533,187,6,2,7
min,196,533,187,6,2,13
rnd,196,533,187,6,2,10
max,196,533,159,14,2,30
max,196,533,153,11,2,16
rnd,196,533,153,11,2,29
max,196,533,147,2,2,3
min,196,533,147,2,2,3
rnd,196,533,147,2,2,3
max,196,533,155,3,2,4
min,196,533,155,3,2,6
rnd,196,533,155,3,2,4
max,196,533,129,5,2,6
min,196,533,129,5,2,8
rnd,196,533,129,5,2,6
max,196,533,150,14,2,15
min,196,533,150,14,2,31
rnd,196,533,150,14,2,22
max,196,533,124,6,2,7
min,196,533,124,6,2,9
rnd,196,533,124,6,2,7
max,196,533,114,6,2,10
min,196,533,114,6,2,15
rnd,196,533,114,6,2,10
max,196,533,194,10,2,11
min,196,533,194,10,2,14
rnd,196,533,194,10,2,11
max,196,533,146,10,2,15
min,196,533,146,10,2,42
rnd,196,533,146,10,2,23
max,196,533,98,9,2,28
min,196,533,98,9,2,56
rnd,196,533,98,9,2,38
max,196,533,78,2,2,4
min,196,533,78,2,2,4
rnd,196,533,78,2,2,4
max,196,533,145,3,2,4
min,196,533,145,3,2,6
rnd,196,533,145,3,2,5
max,196,533,141,9,3,11
min,196,533,141,9,3,13
rnd,196,533,141,9,3,12
max,196,533,184,4,2,8
min,196,533,184,4,2,10
rnd,196,533,184,4,2,8
max,196,533,95,10,2,14
min,196,533,95,10,2,14
rnd,196,533,95,10,2,17
max,196,533,181,2,2,4
min,196,533,181,2,2,4
rnd,196,533,181,2,2,4
max,196,533,143,15,3,16
min,196,533,143,15,3,16
rnd,196,533,143,15,3,16
max,196,533,174,12,2,22
max,196,533,194,17,3,18
rnd,196,533,194,17,3,23
max,196,533,159,6,2,8
min,196,533,159,6,2,18
rnd,196,533,159,6,2,11
max,196,533,106,2,2,4
min,196,533,106,2,2,4
rnd,196,533,106,2,2,4
max,196,533,147,7,2,10
min,196,533,147,7,2,17
rnd,196,533,147,7,2,18
max,196,533,113,8,2,12
min,196,533,113,8,2,19
rnd,196,533,113,8,2,17
max,196,533,131,2,2,4
min,196,533,131,2,2,4
rnd,196,533,131,2,2,4
max,196,533,180,9,2,10
min,196,533,180,9,2,17
rnd,196,533,180,9,2,11
max,196,533,111,2,2,4
min,196,533,111,2,2,4
rnd,196,533,111,2,2,4
max,196,533,178,16,2,24
max,196,533,112,5,3,10
min,196,533,112,5,3,12
rnd,196,533,112,5,3,12
max,196,533,177,14,3,22
rnd,196,533,177,14,3,36
max,196,533,119,4,2,5
min,196,533,119,4,2,5
rnd,196,533,119,4,2,5
max,196,533,123,8,2,20
min,196,533,123,8,2,29
rnd,196,533,123,8,2,25
max,196,533,140,5,2,19
min,196,533,140,5,2,23
rnd,196,533,140,5,2,13
max,196,533,197,6,2,7
rnd,196,533,197,6,2,12
max,196,533,180,3,2,4
min,196,533,180,3,2,5
rnd,196,533,180,3,2,6
max,196,533,138,3,2,4
min,196,533,138,3,2,5
rnd,196,533,138,3,2,5
max,196,533,199,8,2,9
min,196,533,199,8,2,15
rnd,196,533,199,8,2,14
max,196,533,169,10,2,11
min,196,533,169,10,2,11
rnd,196,533,169,10,2,11
max,196,533,182,10,2,17
min,196,533,182,10,2,16
max,196,533,160,7,2,10
min,196,533,160,7,2,16
rnd,196,533,160,7,2,10
max,196,533,192,10,2,12
rnd,196,533,192,10,2,23
max,196,533,136,3,2,5
min,196,533,136,3,2,6
rnd,196,533,136,3,2,6
max,196,533,161,10,2,15
min,196,533,161,10,2,42
rnd,196,533,161,10,2,24
max,196,533,132,13,2,18
min,196,533,132,13,2,39
rnd,196,533,132,13,2,22
max,196,533,135,5,2,13
min,196,533,135,5,2,15
rnd,196,533,135,5,2,13
max,196,533,153,8,2,10
min,196,533,153,8,2,16
rnd,196,533,153,8,2,13
max,196,533,151,7,2,11
min,196,533,151,7,2,17
rnd,196,533,151,7,2,16
max,196,533,196,12,2,15
max,196,533,179,7,2,8
min,196,533,179,7,2,10
rnd,196,533,179,7,2,8
max,196,533,151,5,2,6
min,196,533,151,5,2,6
rnd,196,533,151,5,2,6
max,196,533,184,13,3,14
min,196,533,184,13,3,32
rnd,196,533,184,13,3,18
max,196,533,119,4,2,5
min,196,533,119,4,2,7
rnd,196,533,119,4,2,5
max,196,533,168,5,2,7
min,196,533,168,5,2,12
rnd,196,533,168,5,2,8
max,196,533,106,10,3,11
min,196,533,106,10,3,19
rnd,196,533,106,10,3,15
max,196,533,178,6,2,7
min,196,533,178,6,2,10
rnd,196,533,178,6,2,10
max,196,533,74,5,2,10
min,196,533,74,5,2,15
rnd,196,533,74,5,2,10
max,196,533,110,4,2,5
min,196,533,110,4,2,6
rnd,196,533,110,4,2,5
max,196,533,95,3,2,4
min,196,533,95,3,2,7
rnd,196,533,95,3,2,7
max,196,533,184,4,2,6
min,196,533,184,4,2,11
rnd,196,533,184,4,2,9
max,196,533,182,13,2,16
rnd,196,533,182,13,2,22
max,196,533,136,4,2,5
min,196,533,136,4,2,5
rnd,196,533,136,4,2,5
max,196,533,125,8,3,21
min,196,533,125,8,3,31
rnd,196,533,125,8,3,33
max,196,533,200,2,2,4
min,196,533,200,2,2,4
rnd,196,533,200,2,2,4
max,196,533,192,11,2,18
max,196,533,148,2,2,3
min,196,533,148,2,2,3
rnd,196,533,148,2,2,3
max,196,533,107,2,2,3
min,196,533,107,2,2,3
rnd,196,533,107,2,2,3
max,196,533,122,2,2,3
min,196,533,122,2,2,3
rnd,196,533,122,2,2,3
max,196,533,125,5,2,6
min,196,533,125,5,2,8
rnd,196,533,125,5,2,6
max,196,533,106,5,2,8
min,196,533,106,5,2,13
rnd,196,533,106,5,2,13
max,196,533,122,6,2,10
min,196,533,122,6,2,16
rnd,196,533,122,6,2,16
max,196,533,149,3,2,4
min,196,533,149,3,2,4
rnd,196,533,149,3,2,4
max,196,533,199,8,2,10
rnd,196,533,199,8,2,13
max,196,533,182,8,2,12
min,196,533,182,8,2,17
rnd,196,533,182,8,2,12
max,196,533,139,3,2,4
min,196,533,139,3,2,4
rnd,196,533,139,3,2,4
max,196,533,176,13,2,14
min,196,533,176,13,2,14
rnd,196,533,176,13,2,14
max,196,533,176,10,2,11
min,196,533,176,10,2,22
rnd,196,533,176,10,2,21
max,196,533,114,2,2,4
min,196,533,114,2,2,4
rnd,196,533,114,2,2,4
max,196,533,194,4,2,5
min,196,533,194,4,2,8
rnd,196,533,194,4,2,8
max,196,533,124,5,2,7
min,196,533,124,5,2,10
rnd,196,533,124,5,2,9
max,196,533,172,13,2,14
max,196,533,107,8,2,15
min,196,533,107,8,2,21
rnd,196,533,107,8,2,23
max,196,533,169,7,2,14
min,196,533,169,7,2,19
rnd,196,533,169,7,2,16
max,196,533,181,4,2,5
min,196,533,181,4,2,7
rnd,196,533,181,4,2,6
max,196,533,67,4,2,5
min,196,533,67,4,2,9
rnd,196,533,67,4,2,8
max,196,533,174,16,2,33
max,196,533,180,5,2,7
min,196,533,180,5,2,7
rnd,196,533,180,5,2,7
max,196,533,99,4,2,10
min,196,533,99,4,2,15
rnd,196,533,99,4,2,11
max,196,533,153,7,2,8
min,196,533,153,7,2,15
rnd,196,533,153,7,2,11
max,196,533,193,16,2,24
max,196,533,170,3,2,4
min,196,533,170,3,2,4
rnd,196,533,170,3,2,4
max,196,533,182,6,2,8
min,196,533,182,6,2,13
rnd,196,533,182,6,2,12
max,196,533,133,5,2,6
min,196,533,133,5,2,6
rnd,196,533,133,5,2,6
max,196,533,144,8,2,12
min,196,533,144,8,2,20
rnd,196,533,144,8,2,13
max,196,533,108,4,2,6
min,196,533,108,4,2,12
rnd,196,533,108,4,2,6
max,196,533,153,9,2,18
min,196,533,153,9,2,24
rnd,196,533,153,9,2,24
max,196,533,190,9,4,10
min,196,533,190,9,4,15
rnd,196,533,190,9,4,10
max,196,533,167,12,3,24
rnd,196,533,167,12,3,25
max,196,533,147,5,2,6
min,196,533,147,5,2,10
rnd,196,533,147,5,2,8
max,196,533,139,6,2,8
min,196,533,139,6,2,14
rnd,196,533,139,6,2,16
